="",="freq",="pct",="cumpct"
="1",="105",="8.68",="8.68"
="2",="32",="2.65",="11.33"
="3",="63",="5.21",="16.54"
="4",="445",="36.81",="53.35"
="5",="63",="5.21",="58.56"
="6",="414",="34.24",="92.80"
="7",="87",="7.20",="100.00"
="Total",="1209",="100.00",=""
