="",="freq",="pct",="cumpct"
="1",="111",="9.18",="9.18"
="2",="113",="9.35",="18.53"
="3",="147",="12.16",="30.69"
="4",="81",="6.70",="37.39"
="5",="28",="2.32",="39.70"
="6",="233",="19.27",="58.97"
="7",="20",="1.65",="60.63"
="8",="167",="13.81",="74.44"
="9",="36",="2.98",="77.42"
="10",="273",="22.58",="100.00"
="Total",="1209",="100.00",=""
