="",="(1)",=""
="",="",=""
="",="b",="rowpct"
="Upskilling",="",=""
="Cluster 1",="192",="32.2"
="Cluster 2",="266",="50.3"
="Total",="458",="40.7"
="Reskilling",="",=""
="Cluster 1",="404",="67.8"
="Cluster 2",="263",="49.7"
="Total",="667",="59.3"
="Total",="",=""
="Cluster 1",="596",="100.0"
="Cluster 2",="529",="100.0"
="Total",="1125",="100.0"
="N",="1125",=""
