UMAP1,UMAP2,program_type,cluster2,cluster3,cluster4
4.9110823,4.828896,1,0,0,3
8.685948,8.010666,1,0,0,3
8.661618,6.894119,1,0,0,3
4.7038374,7.166056,1,0,0,3
3.8547635,6.82833,1,0,0,2
7.6419835,4.477148,1,1,1,0
8.510993,8.30644,1,0,0,3
8.89498,6.6186786,1,1,1,1
5.582523,7.4412985,1,0,0,3
4.973287,4.8317046,1,0,0,3
9.251153,7.2545424,1,0,0,3
4.5402765,7.3487835,1,0,0,3
9.048043,6.1384954,1,1,1,0
8.189467,5.8610806,1,0,2,2
4.265841,5.552349,1,0,0,3
9.12608,6.745452,1,0,0,3
9.255268,7.144676,1,0,2,2
4.805862,7.2597976,1,0,0,3
8.462224,7.963079,1,0,0,3
8.200079,6.738649,1,1,1,1
6.661983,2.7511618,1,1,1,1
5.335323,4.7021704,1,0,0,3
5.5302796,2.4747653,0,1,1,0
5.41191,7.161208,1,0,0,3
5.5116277,3.2676978,1,1,2,2
8.964199,8.027817,1,0,0,3
4.9557085,4.7574453,1,0,0,3
7.611942,3.849094,1,0,0,0
7.059032,3.6253812,1,0,0,3
5.248642,7.856719,1,0,2,2
4.270834,5.496349,1,0,0,3
8.08608,7.7125063,1,1,1,0
4.4071665,7.1172943,1,0,2,2
7.4880776,5.769965,1,1,2,1
9.173608,7.6682215,1,0,0,3
6.496495,5.902054,1,1,1,1
8.810429,8.250992,1,1,1,0
4.218572,5.5264378,1,0,0,3
6.0736527,2.996388,0,1,1,0
5.033995,7.3235607,1,0,0,3
7.4502196,2.5496142,1,1,1,1
5.177951,8.240916,1,0,2,2
8.495004,5.4866695,0,1,1,0
7.694274,6.7323184,1,0,0,3
6.0301156,3.4860218,1,1,1,1
4.5866904,6.646094,1,0,0,2
6.1419773,2.2097375,1,1,1,1
5.3554845,3.9522793,1,1,2,1
6.27454,5.4422226,1,0,0,3
6.215121,3.92547,1,1,2,1
6.4044356,6.209621,1,0,0,3
5.1033053,5.580945,1,0,2,2
7.6270633,3.107661,1,1,1,0
4.8043575,7.3218255,1,0,0,3
9.165067,7.004251,1,0,0,3
9.216368,7.400501,1,0,0,3
7.4283605,3.710568,1,1,1,0
4.6083655,7.1575723,1,0,0,2
8.964726,8.193479,1,0,0,3
5.540135,3.26797,1,1,2,1
7.301413,5.750375,1,0,2,2
5.8894477,5.896213,1,0,0,3
7.038777,2.5504835,1,1,1,1
5.25246,4.9616556,1,0,0,3
7.549513,2.976507,1,1,1,1
6.08812,2.6189532,1,1,1,1
7.287293,6.0375285,1,1,1,1
6.848067,4.3485847,1,1,1,0
8.233813,7.962294,1,0,2,2
8.574386,7.2143626,1,0,0,3
6.228665,6.007591,1,1,1,0
8.808837,5.7130737,0,1,1,1
8.11049,0.5691809,0,1,1,1
8.592902,6.478166,1,0,2,2
8.233858,8.047651,1,0,0,3
5.0511403,4.3794975,1,0,2,2
6.957257,4.2875853,1,1,1,0
6.0343823,2.1313462,1,1,1,1
6.61115,2.4499261,1,1,1,1
7.3098474,2.7972143,0,1,1,0
6.226103,2.5921693,1,1,2,1
7.015475,3.0402486,0,1,1,0
7.0838437,2.6334376,1,1,1,1
6.04035,4.7707744,1,0,2,2
7.9404254,7.6184287,1,1,1,0
5.6860204,3.2760313,1,1,2,1
7.8140545,3.7344072,1,1,1,0
8.757324,6.677959,1,0,2,2
6.784856,2.1110458,1,1,1,1
6.2178273,5.671182,1,0,0,0
7.8243027,3.485058,1,1,1,1
7.8135777,3.3735516,1,1,1,1
5.741904,3.0177207,0,1,2,1
5.6398673,3.9549577,1,1,1,1
7.7916136,7.579491,1,1,1,0
6.98141,2.5329075,1,1,1,1
7.108719,4.0149813,1,1,1,1
6.3487883,4.603936,1,1,2,2
4.353044,5.5352507,1,0,0,3
