category,variable,variable_label,test,test_statistic,p_value,significance,mean_cluster0,std_cluster0,z_score_cluster0,mean_cluster1,std_cluster1,z_score_cluster1,mean_cluster2,std_cluster2,z_score_cluster2
targeting,p_target_middleemp,p_target_middleemp,ANOVA,179.9848175048828,0.0,***,0.23152709007263184,0.4228511452674866,-0.582619309425354,0.23616236448287964,0.42550888657569885,-0.5733433365821838,0.7327188849449158,0.4428805708885193,0.42034977674484253
targeting,p_target_emp,p_target_emp,ANOVA,362.8668518066406,0.0,***,0.3054187297821045,0.4617232084274292,-0.7307285666465759,0.3025830388069153,0.4602261483669281,-0.7366843819618225,0.9078341126441956,0.2894824147224426,0.5345306396484375
other,p_participated_coarse,p_participated_coarse,ANOVA,120.1122055053711,0.0,***,2.7142856121063232,0.6029160618782043,0.8854051232337952,1.9225091934204102,0.6066687703132629,-0.09240452200174332,1.8049155473709106,0.8173355460166931,-0.23762759566307068
targeting,p_targetemp_emp_Selected,p_targetemp_emp_Selected,ANOVA,362.866959731458,2.892489115034493e-122,***,0.3054187192118227,0.46172320052741783,-0.7307286166204382,0.3025830258302583,0.4602261597097462,-0.7366844523852059,0.9078341013824884,0.2894824189771204,0.5345305618592008
targeting,p_targetemp_emp_Not Selected,p_targetemp_emp_Not Selected,ANOVA,362.866959731458,2.892489115034493e-122,***,0.6945812807881774,0.4617232005274179,0.7307286166204383,0.6974169741697417,0.4602261597097462,0.7366844523852059,0.09216589861751152,0.2894824189771204,-0.5345305618592009
other,p_size_coarse3,p_participated_coarse==     3.0000,ANOVA,164.99882890411325,1.5244527277583388e-63,***,0.7931034482758621,0.406082131060046,0.9954012747712164,0.14760147601476015,0.3553607502420999,-0.38082344834972304,0.25499231950844853,0.4361920447932531,-0.1518637546478987
targeting,p_targetfunc_cust_Not Selected,p_targetfunc_cust_Not Selected,ANOVA,116.69815178389352,9.053159496934806e-47,***,0.8620689655172413,0.3456800660892942,0.48005459800872274,0.8671586715867159,0.3400311106524844,0.49059318382812794,0.4592933947772657,0.4987234087171543,-0.35391987129522806
targeting,p_targetfunc_cust_Selected,p_targetfunc_cust_Selected,ANOVA,116.69815178389352,9.053159496934806e-47,***,0.13793103448275862,0.3456800660892942,-0.48005459800872285,0.13284132841328414,0.3400311106524844,-0.4905931838281279,0.5407066052227343,0.4987234087171543,0.35391987129522806
targeting,p_target_all,p_target_all,ANOVA,100.74708557128906,5.753451234824834e-41,***,0.1428571492433548,0.35079219937324524,-0.27813684940338135,0.014760147780179977,0.12081450968980789,-0.5679865479469299,0.40860214829444885,0.49195343255996704,0.3231738209724426
other,p_year_end_Ongoing,p_year_end_Ongoing,ANOVA,94.1140751754517,1.6382011272003153e-38,***,0.33004926108374383,0.4713930246619549,-0.349540517355391,0.25092250922509224,0.43434612146558765,-0.5077312326327591,0.6651305683563749,0.4723076961565981,0.3203562044034132
other,p_ongoing,p_ongoing,ANOVA,94.11406707763672,1.638212492442053e-38,***,0.3300492465496063,0.47139301896095276,-0.3495405912399292,0.2509225010871887,0.43434610962867737,-0.5077313184738159,0.6651305556297302,0.4723076820373535,0.32035619020462036
funding,p_fund_org,Employer,ANOVA,89.30516815185547,1.0219106042026601e-36,***,39.88669967651367,30.50859260559082,-0.5428001284599304,46.789669036865234,32.72789001464844,-0.34095147252082825,69.0921630859375,31.788543701171875,0.31119227409362793
targeting,p_target_topbottom,p_target_topbottom,ANOVA,89.092529296875,1.2276987946485283e-36,***,0.18719211220741272,0.3910299837589264,-0.22602887451648712,0.036900367587804794,0.18886597454547882,-0.5571694374084473,0.4270353317260742,0.4950278401374817,0.30242204666137695
other,p_size_coarse2,p_participated_coarse==     2.0000,ANOVA,83.06495329948204,2.2836080712817202e-34,***,0.12807881773399016,0.335003699838563,-0.4559206488959373,0.6273062730627307,0.48441615709717945,0.5938834684484714,0.29493087557603687,0.4563623255019414,-0.10505457484433256
other,p_participated_100 - 499,p_participated_100 - 499,ANOVA,83.06495329948204,2.2836080712817202e-34,***,0.12807881773399016,0.335003699838563,-0.4559206488959373,0.6273062730627307,0.48441615709717945,0.5938834684484714,0.29493087557603687,0.4563623255019414,-0.10505457484433256
other,p_participated_1000 - 9999,p_participated_1000 - 9999,ANOVA,73.41944578981092,1.0838181030635908e-30,***,0.35467980295566504,0.4795989154893648,0.7218561322242117,0.05166051660516605,0.22175021623044844,-0.21020673505045973,0.07526881720430108,0.26402746930805177,-0.1375895078999084
other,p_participated_2023_1000 - 9999,p_participated_2023_1000 - 9999,ANOVA,68.41038175089238,9.252223295536381e-29,***,0.5123152709359606,0.5010840319176733,0.6850384337652817,0.11070110701107011,0.3143421513413069,-0.2751191176975547,0.18433179723502305,0.3880527012816632,-0.0990868220557831
other,p_part,p_part,ANOVA,65.11099243164062,1.7651020828932687e-27,***,68.1921157836914,18.116168975830078,0.5003520846366882,62.516605377197266,20.895654678344727,0.2679601311683655,49.43778991699219,25.313365936279297,-0.26757073402404785
targeting,p_targetfunc_op_Selected,p_targetfunc_op_Selected,ANOVA,63.82605961226953,5.588442516211498e-27,***,0.3793103448275862,0.4864149689526091,-0.22973692718680544,0.26199261992619927,0.4405321865116557,-0.46428373152480246,0.6267281105990783,0.48404534256072784,0.2649116550877771
targeting,p_targetfunc_op_Not Selected,p_targetfunc_op_Not Selected,ANOVA,63.82605961226953,5.588442516211498e-27,***,0.6206896551724138,0.4864149689526091,0.22973692718680544,0.7380073800738007,0.4405321865116557,0.46428373152480246,0.37327188940092165,0.48404534256072784,-0.2649116550877772
