cluster_ch,p_participated,p_participated_2023,p_eligibility,p_part_exp,p_duration,p_hourstrained,p_comphours,p_cost,p_fund_gov,p_fund_org,p_fund_wrk,p_fund_union,p_fund_other,p_mandavolunt,p_ongoing,p_otjactivities,p_targetemp_c,p_targetemp_bul,p_targetemp_mm,p_targetemp_emp,p_targetfunc_hr,p_targetfunc_it,p_targetfunc_op,p_targetfunc_mrksal,p_targetfunc_accfin,p_targetfunc_cust,p_cha_takeup,p_cha_during,p_cha_support,p_cha_scale,p_challenge_learning,p_challenge_effectiveness,p_difloc
Cluster 1,2.3369098,2.8948498,51.362659,53.182404,2.2339056,3.0085838,1.3669528,2.2381973,9.2764044,74.265167,7.1999998,5.5617976,3.6966293,1.6802576,74.248924,109.22746,6.6523604,21.673819,68.884125,78.755363,31.974251,33.905582,60.72961,35.83691,23.60515,42.060085,64.163086,79.828331,36.480686,59.442062,54.721027,40.128754,1.4227468
Cluster 2,3.5781486,4.1168437,67.393021,74.05159,2.3717754,3.7010622,1.3778452,2.6889226,17.185184,45.537037,16.427469,15.25,5.6003084,1.5584219,33.687405,108.19423,30.804249,70.713203,76.631256,55.842186,71.168434,60.091049,41.426403,42.640366,36.57056,33.383915,46.130501,85.735962,46.73748,53.869499,41.881638,29.89378,1.2610015
