category,variable,variable_label,test,test_statistic,p_value,significance,mean_cluster0,std_cluster0,z_score_cluster0,mean_cluster1,std_cluster1,z_score_cluster1
targeting,p_target_top,p_target_top,t-test,-21.96897429633829,7.965857095333787e-87,***,0.2467811107635498,0.4316015839576721,-0.65798020362854,0.8027313947677612,0.3982390761375427,0.46527883410453796
other,p_participated_coarse,p_participated_coarse,t-test,-19.290994872672858,2.6125212084167663e-70,***,1.5128755569458008,0.7279707193374634,-0.5982843637466431,2.3399088382720947,0.6795541644096375,0.42306599020957947
other,p_size_coarse1,p_participated_coarse==     1.0000,t-test,19.75735057773192,2.6803151584295357e-70,***,0.6266094420600858,0.48422433910050666,0.6334230983103972,0.11836115326251896,0.3232806520786458,-0.4479137538886876
other,p_part,p_part,t-test,-17.915360256007073,1.9931226322627778e-61,***,41.94420623779297,23.67706298828125,-0.5744062662124634,65.89225769042969,19.615116119384766,0.40618106722831726
targeting,p_target_topmiddle,p_target_topmiddle,t-test,-16.124439636456362,9.618499272285134e-53,***,0.16952790319919586,0.3756207525730133,-0.4965324103832245,0.5872533917427063,0.4927019476890564,0.3511139750480652
program_structure,p_part_exp,p_part_exp,t-test,-15.842110599500574,1.003990406949252e-49,***,53.182403564453125,23.671836853027344,-0.5245352983474731,74.05158996582031,18.7391414642334,0.3709155023097992
funding,p_fund_org,Employer,t-test,15.298307799100684,1.5967335399321593e-47,***,75.42489624023438,31.793685913085938,0.4963667690753937,46.446128845214844,30.57962989807129,-0.35099688172340393
other,p_ongoing,p_ongoing,t-test,14.8042757345334,3.653907720200614e-45,***,0.7424892783164978,0.4377329349517822,0.47501227259635925,0.3368740379810333,0.4730004370212555,-0.33589640259742737
funding,p_fund_union,Union,t-test,-14.246040734065488,2.7907095449502802e-42,***,5.311158657073975,10.673238754272461,-0.45732125639915466,14.995448112487793,11.976356506347656,0.3233864903450012
program_structure,p_eligibility,p_eligibility,t-test,-12.997029347169,1.4724958005726037e-35,***,51.3626594543457,21.476253509521484,-0.4386541545391083,67.39302062988281,18.714834213256836,0.3101864755153656
other,p_size_coarse3,p_participated_coarse==     3.0000,t-test,-12.646425911824641,2.283086270905131e-34,***,0.13948497854077252,0.346824229272451,-0.39812800351587235,0.4582701062215478,0.4986340428557496,0.28152905863186106
program_structure,p_hours_long,p_hours_long,t-test,-10.691190486387491,2.1267250099871937e-25,***,0.28111588954925537,0.4500270485877991,-0.3561627268791199,0.5842185020446777,0.49323058128356934,0.2518540918827057
funding,p_fund_wrk,Employee,t-test,-10.67468375356867,2.718051666430798e-25,***,6.8755364418029785,14.155722618103027,-0.35887444019317627,16.153263092041016,14.643354415893555,0.25377157330513
targeting,p_target_topbottom,p_target_topbottom,t-test,-10.63358753821721,3.1464537131664825e-25,***,0.1351931393146515,0.342297226190567,-0.3405991494655609,0.399089515209198,0.4900831878185272,0.24084852635860443
targeting,p_target_all,p_target_all,t-test,-10.489492222946684,1.2803041787891323e-24,***,0.1180257499217987,0.32298535108566284,-0.3343237340450287,0.3702579736709595,0.4832404851913452,0.23641107976436615
other,p_effect_reverse,p_effect_reverse,t-test,-10.372738662803435,5.48838185221336e-24,***,2.349785327911377,0.49942973256111145,-0.3535585105419159,2.658573627471924,0.4809107780456543,0.25001275539398193
funding,p_fund_gov,Government,t-test,-9.193502157598376,2.2698187673166487e-19,***,8.858368873596191,14.762977600097656,-0.31717708706855774,16.898330688476562,13.992517471313477,0.22428607940673828
targeting,p_target_emp,p_target_emp,t-test,8.454157625714098,8.853652689667017e-17,***,0.7875536680221558,0.4094785749912262,0.281904399394989,0.5584218502044678,0.4969523549079895,-0.1993435025215149
targeting,p_criteria_managerrec,Criteria - Manager's recommendation',t-test,7.947809769060289,7.846934551057046e-15,***,0.2403433471918106,0.4277511537075043,0.2974468171596527,0.06525038182735443,0.24715472757816315,-0.2103341519832611
other,p_size_coarse2,p_participated_coarse==     2.0000,t-test,-6.888988389475544,9.515391426671738e-12,***,0.23390557939914164,0.4237677692420381,-0.23338206666162487,0.4233687405159332,0.4944680624020578,0.16503193181231732
other,p_cha_takeup,p_cha_takeup,t-test,6.1060449638223915,1.4477629212301447e-09,***,0.6416308879852295,0.4800366461277008,0.21171732246875763,0.46130502223968506,0.4988791048526764,-0.14971213042736053
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,t-test,-5.900757642775642,4.7861256903471945e-09,***,0.10515021532773972,0.3070765435695648,-0.19570758938789368,0.2336874008178711,0.4234970510005951,0.13839107751846313
other,p_year_end_clone2,p_year_end_clone2,t-test,5.296261224191128,1.4237535847302966e-07,***,2022.7596435546875,0.6030060052871704,0.17811203002929688,2022.541748046875,0.7753834128379822,-0.1258363127708435
other,p_adv_hr,p_adv_hr,t-test,-5.045857449050795,5.360770789242691e-07,***,0.42703863978385925,0.49517959356307983,-0.17704084515571594,0.5781487226486206,0.49423015117645264,0.12519128620624542
other,p_challenge_convmanager,Challenge - Convincing managers to allow their employees to participate in the p,t-test,-4.902530744232997,1.092878724330279e-06,***,0.2446351945400238,0.43033266067504883,-0.1686186045408249,0.37936267256736755,0.48559701442718506,0.11923560500144958
other,p_resp_top,p_resp_top,t-test,-4.5785335021144276,5.219908234003489e-06,***,0.17167381942272186,0.3775019645690918,-0.1561490297317505,0.2852807343006134,0.4518910348415375,0.11041796952486038
other,p_adv_resp_match,p_adv_resp_match,t-test,-4.332728221810564,1.6282435555014813e-05,***,0.5622317790985107,0.4966452419757843,-0.15421241521835327,0.6889225840568542,0.46328601241111755,0.10904848575592041
other,p_challenge_learning,Challenge - Ensuring that participants learned new skills,t-test,4.273239461535641,2.1114043599368163e-05,***,0.5472102761268616,0.4983011484146118,0.1505899876356125,0.41881638765335083,0.4937399625778198,-0.10648705065250397
other,p_challenge_selecting,Challenge - Selecting the right participants,t-test,4.2251822025008305,2.6158122707369865e-05,***,0.43133047223091125,0.49579429626464844,0.15047170221805573,0.3080424964427948,0.4620349109172821,-0.10640329867601395
other,p_challenge_progcompl,Challenge - Ensuring program completion,t-test,-4.039946746496934,5.736435785937234e-05,***,0.28326180577278137,0.4510667026042938,-0.14030425250530243,0.3975720703601837,0.48976781964302063,0.09921358525753021
other,p_challenge_convincingemployees,Challenge - Convincing eligible employees to apply,t-test,3.794859314569383,0.00015727441697583537,***,0.3412017226219177,0.4746224880218506,0.1362464725971222,0.23672230541706085,0.425393283367157,-0.0963442400097847
other,p_long,p_long,t-test,-3.6901825049287,0.0002355854086842439,***,0.2660944163799286,0.4423891305923462,-0.12819381058216095,0.3687405288219452,0.48282989859580994,0.09065000712871552
other,p_challenge_effectiveness,Challenge - Monitoring the effectiveness of the program,t-test,3.541576096337488,0.000416908463202716,***,0.4012875556945801,0.49068576097488403,0.1263876110315323,0.2989377975463867,0.4581402540206909,-0.0893726795911789
funding,p_fund_other,Other,t-test,-3.4997957572893728,0.0004872521633847241,***,3.530042886734009,9.637079238891602,-0.1251850724220276,5.506828308105469,8.882782936096191,0.08852230757474899
other,p_cha_support,p_cha_support,t-test,-3.464164239124727,0.0005539346519528218,***,0.3648068606853485,0.48189330101013184,-0.12148924916982651,0.4673748016357422,0.49931344389915466,0.08590894937515259
targeting,p_target_middle,p_target_middle,t-test,-2.861278252115407,0.004312553720418871,**,0.6888412237167358,0.46346515417099,-0.10268522799015045,0.7663125991821289,0.4234970510005951,0.07261200994253159
other,p_challenge_determreturn,Challenge - Determining financial returns of programs relative to other policies,t-test,2.8577325671440588,0.0043628760236374955,**,0.248927041888237,0.43285614252090454,0.10314325988292694,0.17754173278808594,0.3824167549610138,-0.07293586432933807
other,p_challenge_scaling,Challenge - Scaling-up the program,t-test,-2.716928926423589,0.00669617641854238,**,0.18884120881557465,0.3918030261993408,-0.09428956359624863,0.2564491629600525,0.43700432777404785,0.06667518615722656
other,p_cri_individual,p_cri_individual,t-test,-2.6683211893001624,0.007764563652992984,**,0.8562231659889221,0.3512403666973114,-0.09756218641996384,0.9089529514312744,0.28789451718330383,0.06898920983076096
other,p_cha_during,p_cha_during,t-test,-2.560919264863866,0.010599424853415569,*,0.7982832789421082,0.4017130732536316,-0.09271656721830368,0.8573596477508545,0.34997135400772095,0.06556285917758942
funding,p_challenge_funding,Challenge - Finding adequate resources to fund the program,t-test,2.445081865825744,0.014687133624769049,*,0.09227468073368073,0.28972434997558594,0.09027297049760818,0.05311077460646629,0.22442470490932465,-0.06383487582206726
other,p_year_start_clone2,p_year_start_clone2,t-test,-2.3163205544904413,0.020740642301576313,*,2020.76611328125,1.1763843297958374,-0.08182867616415024,2020.9317626953125,1.188807487487793,0.057846181094646454
targeting,p_criteria_assmskills,Criteria - Pre-assessment of knowledge/skills,t-test,-2.265981321997069,0.02368324979603259,*,0.8004291653633118,0.4001072943210602,-0.08185778558254242,0.8528072834014893,0.3545670509338379,0.05788412690162659
other,p_cha_scale,p_cha_scale,t-test,1.8615325118978119,0.06295924248355973,,0.5944206118583679,0.49153149127960205,0.065760537981987,0.5386949777603149,0.4988791048526764,-0.04650137200951576
targeting,p_criteria_tenure,Criteria - Tenure,t-test,-1.7261155701699684,0.0846482607476004,,0.7381974458694458,0.4400881826877594,-0.0618254579603672,0.7830045819282532,0.4125126004219055,0.04371875897049904
other,p_adv_top,p_adv_top,t-test,1.3877959063552368,0.1655161437148158,,0.30042919516563416,0.45893731713294983,0.0495334267616272,0.262518972158432,0.4403373599052429,-0.03502668812870979
other,p_challenge_supportoutsideHR,Challenge - Getting the support of other corporate managers outside HR,t-test,1.1114801390173727,0.2666420412063239,,0.1394849717617035,0.3468242287635803,0.03991829976439476,0.11684370040893555,0.3214779496192932,-0.028227532282471657
targeting,p_criteria_assmsmotivation,Criteria - Pre-assessment of motivation,t-test,1.1034902413370078,0.2700883354648281,,0.21030043065547943,0.4079599380493164,0.03946723788976669,0.18361152708530426,0.3874611556529999,-0.02790856920182705
targeting,p_target_middleemp,p_target_middleemp,t-test,0.9011267867225013,0.36773727757187313,,0.5386266112327576,0.49904149770736694,0.03193848207592964,0.5113808512687683,0.5002501606941223,-0.022584866732358932
targeting,p_criteria_jobtitle,Criteria - Job Title,t-test,-0.7722362646838997,0.44016028128412255,,0.7618025541305542,0.4264383316040039,-0.02752881497144699,0.7814871072769165,0.41355112195014954,0.019466575235128403
other,p_oja,p_oja,t-test,-0.6021267108363411,0.5472309145797896,,0.9077253341674805,0.28972434997558594,-0.02155296690762043,0.9180576801300049,0.27448520064353943,0.015240940265357494
other,p_compfull,p_compfull,t-test,0.5563452974493975,0.5780983410095751,,0.6609442234039307,0.4738975465297699,0.019695598632097244,0.6449165344238281,0.47890210151672363,-0.013927312567830086
other,p_challenge_other,Challenge - Other,t-test,0.4149788788513277,0.6782574231778711,,0.00643776822835207,0.08006297051906586,0.01515684649348259,0.004552352242171764,0.06736849993467331,-0.010717887431383133
other,p_resp_hr,p_resp_hr,t-test,-0.3898483305833503,0.6967316857775097,,0.5193132758140564,0.5001637935638428,-0.01383079681545496,0.5311077237129211,0.4994104206562042,0.009780105203390121
other,p_participated_50000 - 99999,p_participated_50000 - 99999,t-test,-0.07808715230182577,0.950388847811688,,0.0,0.0,-0.05970821442032541,0.006069802731411229,0.07773113185060163,0.04222159016672479
other,p_participated_100000 or more,p_participated_100000 or more,t-test,-0.06757389415046086,0.9570464221241073,,0.0,0.0,-0.051685782215081064,0.004552352048558422,0.0673685023749275,0.036548671490482215
other,p_participated_2023_100000 or more,p_participated_2023_100000 or more,t-test,-0.05513184830996969,0.964937470958111,,0.0,0.0,-0.04218247075530854,0.0030349013657056147,0.05504806130645909,0.029828575678260662
targeting,p_criteria_qualifications,Criteria - Pre-existing skills/qualifications,t-test,-0.040750728260336926,0.9675027572971917,,0.8519313335418701,0.35554972290992737,-0.0014462018152698874,0.8528072834014893,0.3545670509338379,0.0010225380538031459
other,p_application_Other,p_application_Other,t-test,0.04632410546120795,0.9705302264292572,,0.002145922746781116,0.046324105461207944,0.04216219734398745,0.0,0.0,-0.0298142396999972
funding,p_adequatefund_Overfunded,p_adequatefund_Overfunded,t-test,-0.23541511254651795,,,0.06223175965665236,0.24183562786143298,-0.18626986026689749,0.1669195751138088,0.3731873042303623,0.13171738222211568
funding,p_adequatefund_Adequate funding,p_adequatefund_Adequate funding,t-test,0.07706825605509558,,,0.8497854077253219,0.3576656050473954,0.06326635478307914,0.8088012139605463,0.39354393427571843,-0.04473766514251154
funding,p_adequatefund_Underfunded,p_adequatefund_Underfunded,t-test,0.19740357949104814,,,0.08798283261802575,0.28357435869441416,0.17007221911227566,0.024279210925644917,0.15403159894298524,-0.12026351154221615
