category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,0.0,0.0,0.19599999487400055,0.39776483178138733,0.6726498007774353,-7.791115768063476,1.7981457934760547e-13,***
program_structure,p_hours_long,p_hours_long,0.21296297013759613,0.4103526771068573,0.3400000035762787,0.4746590554714203,0.2848260700702667,-3.098662539232427,0.0020620162398654203,**
other,p_long,p_long,0.20370370149612427,0.4036867022514343,0.3199999928474426,0.46741190552711487,0.2648903429508209,-2.8819835517146255,0.004135109267011851,**
targeting,p_criteria_assmsmotivation,Criteria - Pre-assessment of motivation,0.15740740299224854,0.3650304079055786,0.25600001215934753,0.4372972846031189,0.24318856000900269,-2.6522937713541817,0.008268900641133366,**
other,p_challenge_selecting,Challenge - Selecting the right participants,0.375,0.4852474629878998,0.47999998927116394,0.5006020665168762,0.2127457857131958,-2.2953759576192327,0.022162824196892403,*
targeting,p_criteria_assmskills,Criteria - Pre-assessment of knowledge/skills,0.7546296119689941,0.4313061237335205,0.8399999737739563,0.3673414885997772,0.21435858309268951,-2.2808159448390883,0.023053691041407982,*
other,p_cha_during,p_cha_during,0.7546296119689941,0.4313061237335205,0.8360000252723694,0.37101835012435913,0.20338307321071625,-2.1655736240456966,0.03089667680398925,*
targeting,p_target_middle,p_target_middle,0.7361111044883728,0.4417635500431061,0.6480000019073486,0.4785520136356354,-0.19077031314373016,2.0656151023878238,0.03942196958162604,*
funding,p_fund_wrk,Employee,5.486111164093018,13.069396018981934,8.076000213623047,14.953415870666504,0.18352726101875305,-1.9950567045828789,0.04662116083992172,*
targeting,p_criteria_managerrec,Criteria - Manager's recommendation',0.19907407462596893,0.40023142099380493,0.2759999930858612,0.4479134976863861,0.18037287890911102,-1.957647189444191,0.05087110306983313,
other,p_size_coarse2,p_participated_coarse==     2.0000,0.27314814814814814,0.4466113197997772,0.2,0.40080240802810124,-0.1730717941521854,1.8484466063134586,0.06521463550324624,
other,p_cri_individual,p_cri_individual,0.8240740895271301,0.38164159655570984,0.8840000033378601,0.32086730003356934,0.17105023562908173,-1.8183342286696704,0.0697219674979223,
other,p_effect_reverse,p_effect_reverse,2.305555582046509,0.48143839836120605,2.388000011444092,0.5123534202575684,0.16546231508255005,-1.7892736889981216,0.07422749319473233,
targeting,p_target_middleemp,p_target_middleemp,0.5787037014961243,0.49491381645202637,0.5040000081062317,0.5009869933128357,-0.14995257556438446,1.6156420287369366,0.10686371772709423,
other,p_oja,p_oja,0.8842592835426331,0.3206568956375122,0.9279999732971191,0.25900644063949585,0.1512412130832672,-1.603223941400667,0.10965055938232265,
other,p_challenge_learning,Challenge - Ensuring that participants learned new skills,0.5092592835426331,0.5010755062103271,0.5799999833106995,0.49454858899116516,0.14216847717761993,-1.52894165451093,0.1269776871408385,
funding,p_fund_org,Employer,77.82870483398438,31.620325088500977,73.3479995727539,31.85980224609375,-0.14112873375415802,1.5200538072194782,0.12919173178495402,
other,p_cha_takeup,p_cha_takeup,0.6064814925193787,0.4896649420261383,0.671999990940094,0.47042661905288696,0.13665719330310822,-1.4667776239032249,0.14313751610935943,
other,p_size_coarse1,p_participated_coarse==     1.0000,0.5925925925925926,0.4924931738313299,0.656,0.47599399273992726,0.1310858371560049,-1.407596053176353,0.15994207997981444,
other,p_compfull,p_compfull,0.6898148059844971,0.46364378929138184,0.6359999775886536,0.4821138083934784,-0.11361847072839737,1.22657105492089,0.22061310160782344,
targeting,p_target_topbottom,p_target_topbottom,0.11574073880910873,0.3206568956375122,0.15199999511241913,0.35974109172821045,0.10596344619989395,-1.1502606250188743,0.25062960166762344,
funding,p_fund_gov,Government,8.023148536682129,14.84570026397705,9.579999923706055,14.682571411132812,0.10548929125070572,-1.1346487623715074,0.2571228770397062,
other,p_challenge_convincingemployees,Challenge - Convincing eligible employees to apply,0.31481480598449707,0.4655209183692932,0.36399999260902405,0.4821138083934784,0.10365743190050125,-1.1187062187419812,0.2638515169349377,
other,p_year_end_clone2,p_year_end_clone2,2022.726806640625,0.6850029826164246,2022.7879638671875,0.5216748118400574,0.10144154727458954,-1.0709685108103968,0.2848323760627784,
other,p_challenge_convmanager,Challenge - Convincing managers to allow their employees to participate in the p,0.2222222238779068,0.4167054295539856,0.2639999985694885,0.4416835308074951,0.0970921516418457,-1.0496259170434414,0.2944407828951933,
targeting,p_target_all,p_target_all,0.10185185074806213,0.30315595865249634,0.13199999928474426,0.33916980028152466,0.09334313124418259,-1.013061881356613,0.3115591901613941,
funding,p_fund_union,Union,4.851851940155029,10.043916702270508,5.708000183105469,11.19338607788086,0.08019249886274338,-0.870091869093956,0.3847007476193751,
other,p_adv_resp_match,p_adv_resp_match,0.5416666865348816,0.4994182586669922,0.5799999833106995,0.49454858899116516,0.07715871930122375,-0.8299994343878326,0.40697636166665907,
other,p_part,p_part,42.91203689575195,22.671703338623047,41.108001708984375,24.527019500732422,-0.07616650313138962,0.8246328231136968,0.41000574474656515,
other,p_challenge_effectiveness,Challenge - Monitoring the effectiveness of the program,0.42129629850387573,0.49491381645202637,0.3840000033378601,0.4873335361480713,-0.07598145306110382,0.8169988064860705,0.4143593878022329,
other,p_adv_hr,p_adv_hr,0.40740740299224854,0.4924931824207306,0.4440000057220459,0.49785080552101135,0.07386841624975204,-0.79580429396162,0.4265602293257663,
other,p_participated_coarse,p_participated_coarse,1.5416666269302368,0.7205456495285034,1.4880000352859497,0.7348578572273254,-0.07369141280651093,0.7944111198489731,0.4273687946200233,
